# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
133 1.9141877e+00 3.0469638e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1002944e+00 3.6633276e+02 3.0127008e+01
134 1.8533583e+00 2.9311581e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0335565e+00 3.5909943e+02 3.0378336e+01
135 1.8416108e+00 2.9530621e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2231920e+00 3.6563864e+02 3.0621513e+01
136 1.8063382e+00 2.9320480e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2597954e+00 3.2819217e+02 3.0846403e+01
137 1.7255943e+00 2.6087802e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1431828e+00 2.9754776e+02 3.1087226e+01
138 1.6905127e+00 2.4095131e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1943557e+00 2.8324799e+02 3.1407307e+01
139 1.6793106e+00 2.3594868e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1147981e+00 2.7943649e+02 3.1661329e+01
140 1.6565562e+00 2.3474211e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1159017e+00 2.7807828e+02 3.1884202e+01
141 1.6579266e+00 2.3208293e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1025975e+00 2.7689145e+02 3.2107132e+01
142 1.6547041e+00 2.3631665e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0862842e+00 2.8553488e+02 3.2333943e+01
143 1.6244715e+00 2.3770560e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1123223e+00 2.8116425e+02 3.2559725e+01
144 1.6301745e+00 2.3300543e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0205290e+00 2.7546338e+02 3.2785280e+01
145 1.5963975e+00 2.3305009e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0339518e+00 2.7930963e+02 3.3008606e+01
146 1.6005528e+00 2.3792004e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0147743e+00 2.8248325e+02 3.3252643e+01
147 1.5794224e+00 2.3624347e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9794836e+00 2.7910956e+02 3.3498878e+01
148 1.5977029e+00 2.3285791e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9666246e+00 2.7464084e+02 3.3739180e+01
149 1.5869427e+00 2.3240276e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0299244e+00 2.7834360e+02 3.3968580e+01
150 1.5617392e+00 2.3599725e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0208185e+00 2.8192468e+02 3.4198122e+01
151 1.5550088e+00 2.3975262e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0391836e+00 2.7854843e+02 3.4439562e+01
152 1.5553792e+00 2.3221817e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9335369e+00 2.7143332e+02 3.4701758e+01
153 1.5473584e+00 2.3086089e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0185428e+00 2.7542664e+02 3.4925442e+01
154 1.5304044e+00 2.3358417e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0374856e+00 2.7423975e+02 3.5152422e+01
155 1.5200700e+00 2.3349785e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9994808e+00 2.7276291e+02 3.5376151e+01
156 1.5365480e+00 2.2979518e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1007118e+00 2.6562863e+02 3.5602109e+01
157 1.5660255e+00 2.2442036e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0779159e+00 2.5689883e+02 3.5827591e+01
158 1.5486977e+00 2.1714024e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0009127e+00 2.4720584e+02 3.6051559e+01
159 1.5120702e+00 2.1050558e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0165517e+00 2.4316779e+02 3.6275129e+01
160 1.5076901e+00 2.0619676e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0390396e+00 2.3835884e+02 3.6507628e+01
161 1.4965816e+00 2.0314832e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9842025e+00 2.3304263e+02 3.6733953e+01
162 1.4778563e+00 2.0187503e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0014501e+00 2.3250320e+02 3.6958401e+01
163 1.4680077e+00 2.0076816e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9817715e+00 2.3213528e+02 3.7182179e+01
164 1.4579852e+00 2.0228555e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9877810e+00 2.3381177e+02 3.7407810e+01
165 1.4485949e+00 2.0171375e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9471920e+00 2.3238878e+02 3.7640885e+01
166 1.4390256e+00 2.0038644e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9587080e+00 2.3000806e+02 3.7865067e+01
167 1.4416214e+00 2.0028665e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9430413e+00 2.2948596e+02 3.8089616e+01
168 1.4334086e+00 1.9859019e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9139143e+00 2.2957440e+02 3.8312675e+01
169 1.4288015e+00 2.0119542e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8970004e+00 2.3155400e+02 3.8544211e+01
170 1.4345943e+00 2.0205534e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8928782e+00 2.2953358e+02 3.8768684e+01
171 1.4271115e+00 1.9813072e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8945596e+00 2.2916336e+02 3.8997158e+01
172 1.4191147e+00 2.0049535e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9054409e+00 2.3283356e+02 3.9222011e+01
173 1.4151218e+00 2.0369386e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9319633e+00 2.3152078e+02 3.9444485e+01
174 1.3974389e+00 2.0040247e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8921133e+00 2.2766803e+02 3.9669011e+01
175 1.3875127e+00 2.0007086e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9095683e+00 2.3050638e+02 3.9900989e+01
176 1.3766453e+00 2.0202075e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9070334e+00 2.2926649e+02 4.0129075e+01
177 1.3652791e+00 2.0028960e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8911337e+00 2.2826003e+02 4.0353842e+01
178 1.3613579e+00 2.0139313e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8866167e+00 2.3007709e+02 4.0582084e+01
179 1.3651149e+00 2.0144637e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8897535e+00 2.2753801e+02 4.0807942e+01
180 1.3447412e+00 1.9997862e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8567164e+00 2.2941899e+02 4.1036051e+01
181 1.3375729e+00 2.0250507e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8486747e+00 2.3106163e+02 4.1270806e+01
182 1.3276430e+00 2.0308902e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8541989e+00 2.2965396e+02 4.1496115e+01
183 1.3214102e+00 2.0167775e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8621027e+00 2.2918544e+02 4.1753899e+01
184 1.3155531e+00 2.0345738e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8197505e+00 2.3217783e+02 4.1980730e+01
185 1.3097057e+00 2.0340024e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8248035e+00 2.2948399e+02 4.2205964e+01
186 1.3052821e+00 2.0279727e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8348413e+00 2.3082193e+02 4.2430408e+01
